hopeless,hopeless,142.23,142.97
official,official,143.4,143.93
police,police,143.940001,144.570001
time,time,146.100001,146.130001
time,time,146.190001,146.61000099999998
heard,heard,147.230001,147.430001
vague,vague,147.74000099999998,148.100001
account,account,148.100001,148.690001
doings,doings,149.200001,149.820001
summons,summons,150.55000099999998,150.99000099999998
Odessa,odessa,151.180001,151.560001
case,case,151.77000099999998,152.11000099999998
Trepoff,<unk>,154.13,154.46
murder,murder,154.46,154.5
clearing,clearing,154.52,154.95000000000002
singular,singular,155.29,155.79
tragedy,tragedy,155.79,156.45
Atkinson,atkinson,156.719999,157.359999
brothers,brothers,157.37,157.9
Trincomalee,<unk>,158.37,159.15
finally,finally,160.039999,160.54999899999999
mission,mission,160.67000000000002,161.16000000000003
accomplished,accomplished,161.529999,162.149999
delicately,delicately,162.5,163.29
successfully,successfully,163.49,163.94
reigning,reigning,164.93,165.41
family,family,165.41,165.93
Holland,holland,166.01,166.53
Beyond,beyond,167.67,167.98
signs,signs,168.15,168.67
activity,activity,168.9,169.47
however,however,169.47,169.96
merely,merely,170.62,171.02
shared,shared,171.02,171.39
readers,readers,171.82,172.29
daily,daily,172.44,172.75
press,press,172.749999,173.169999
knew,knew,173.94,174.14
little,little,174.15,174.55
former,former,174.789999,175.159999
friend,friend,175.159999,175.659999
companion,companion,175.67,176.35
One,one,177.84,178.07999999999998
night,night,178.079999,178.499999
it,it,179.039999,179.219999
twentieth,twentieth,179.57999999999998,180.04999999999998
March,march,180.15,180.73000000000002
eighteen,eighteen,180.779999,181.229999
hundred,hundred,181.24,181.29000000000002
eighty,eighty,181.289999,181.619999
eight,eight,181.719999,182.019999
I,i,182.659999,182.799999
returning,returning,182.989999,183.519999
journey,journey,183.769999,184.129999
patient,patient,184.349999,184.909999
for,for,185.569999,185.939999
returned,returned,186.41999900000002,186.909999
civil,civil,186.939999,187.159999
practice,practice,187.24,187.79000000000002
way,way,188.96,189.3
led,led,189.3,189.46
Baker,baker,189.84,190.12
Street,street,190.13,190.6
passed,passed,191.82,192.22
well,well,192.219999,192.479999
remembered,remembered,192.48,192.91
door,door,192.91,193.39
must,must,193.969999,194.169999
always,always,194.179999,194.69999900000002
associated,associated,194.83,195.66000000000003
mind,mind,195.66,196.29999999999998
wooing,wooing,198.35,198.48
dark,dark,198.60999999999999,198.96999999999997
incidents,incidents,198.96999999999997,199.68999999999997
Study,study,199.76999999999998,200.21999999999997
Scarlet,scarlet,200.30999999999997,200.89999999999998
seized,seized,202.04999999999998,202.42999999999998
keen,keen,202.64,202.93999999999997
desire,desire,202.93999999999997,203.42999999999998
see,see,203.48999999999998,203.74999999999997
Holmes,holmes,203.77,204.09
again,again,204.09,204.48
know,know,205.35,205.56
employing,employing,206.01,206.53
extraordinary,extraordinary,206.599999,207.379999
powers,powers,207.38,207.9
rooms,rooms,209.13,209.49
brilliantly,brilliantly,209.599999,210.059999
lit,lit,210.059999,210.60999900000002
and,and,211.09,211.24
even,even,211.24,211.46
looked,looked,211.67,211.89
up,up,211.889999,212.079999
saw,saw,212.23,212.48
tall,tall,212.67,213.07999999999998
spare,spare,213.089999,213.44999900000002
figure,figure,213.45,213.81
pass,pass,213.99,214.21
twice,twice,214.209999,214.679999
dark,dark,214.85,215.23999999999998
silhouette,silhouette,215.24,215.81
blind,blind,216.17000000000002,216.76000000000002
pacing,pacing,218.03000000000003,218.44000000000003
room,room,218.50000000000003,218.84000000000003
swiftly,swiftly,218.84000000000003,219.42000000000002
eagerly,eagerly,219.79000000000002,220.35000000000002
head,head,221.16000000000003,221.49
sunk,sunk,221.49,221.88000000000002
upon,upon,221.88000000000002,222.13000000000002
chest,chest,222.27,222.75000000000003
hands,hands,223.3,223.79000000000002
clasped,<unk>,223.86,224.26000000000002
behind,behind,224.28,224.71
him,him,224.71,224.94
me,me,226.099999,226.459999
knew,knew,226.95,227.32
every,every,227.55,227.91000000000003
mood,mood,227.91,228.27
habit,habit,228.37,228.78
attitude,attitude,229.599999,230.249999
manner,manner,230.259999,230.64999899999998
told,told,230.65,230.95000000000002
story,story,231.24,231.8
work,work,233.09,233.41
again,again,233.41,233.78
risen,risen,234.779999,235.069999
drug,drug,235.49,235.74
created,created,235.75,236.20000000000002
dreams,dreams,236.21,236.69
hot,hot,237.44,237.71
upon,upon,237.71,238.04000000000002
scent,scent,238.05,238.44
new,new,238.73000000000002,239.02
problem,problem,239.04000000000002,239.60000000000002
rang,rang,240.74,241.12
bell,bell,241.13,241.55
shown,shown,241.92000000000002,242.22
chamber,chamber,242.55,242.92000000000002
formerly,formerly,243.25,243.66
part,part,243.96,244.23000000000002
own,own,244.53,244.83
manner,manner,246.049999,246.28999900000002
effusive,effusive,246.589999,247.319999
seldom,seldom,248.08,248.53
was,was,248.53,248.97
glad,glad,250.14000000000001,250.5
think,think,250.53,250.75
see,see,250.78999900000002,251.059999
me,me,251.06,251.45000000000002
hardly,hardly,252.91000000000003,253.36
word,word,253.369999,253.72999900000002
spoken,spoken,253.73000000000002,254.29000000000002
kindly,kindly,255.06,255.52
eye,eye,255.519999,255.849999
waved,waved,256.57,256.85
armchair,armchair,257.349999,257.989999
threw,threw,258.5,258.76
across,across,258.759999,259.289999
case,case,259.289999,259.58999900000003
cigars,cigars,259.66,260.2
indicated,indicated,260.789999,261.579999
spirit,spirit,261.679999,262.079999
case,case,262.08,262.52
gasogene,<unk>,263.62,263.87
corner,corner,263.87,264.32
stood,stood,265.67,265.93
fire,fire,266.349999,266.83999900000003
looked,looked,266.839999,267.069999
singular,singular,267.67,268.2
introspective,introspective,268.209999,268.949999
fashion,fashion,268.949999,269.469999
Wedlock,wedlock,270.859999,271.46999900000003
suits,suits,271.46999900000003,271.919999
you,you,272.059999,272.419999
remarked,remarked,272.82999900000004,273.409999
I,i,273.909999,274.049999
think,think,274.049999,274.309999
Watson,watson,274.309999,274.819999
put,put,275.559999,275.699999
seven,seven,275.939999,276.32999900000004
half,half,276.52999900000003,276.869999
pounds,pounds,276.919999,277.539999
since,since,277.549999,277.809999
saw,saw,277.939999,278.13999900000005
you,you,278.13999900000005,278.379999
Seven,seven,279.32999900000004,279.96999900000003
answered,answered,280.379999,280.94999900000005
Indeed,indeed,281.689999,282.409999
thought,thought,283.699999,283.729999
little,little,283.729998,283.77999800000003
more,more,285.32,285.75
trifle,<unk>,285.75,285.9
more,more,285.9,285.92999999999995
fancy,fancy,285.929999,286.359999
Watson,watson,286.359999,286.879999
practice,practice,288.15,288.59
again,again,288.59,288.91999999999996
observe,observe,289.07,289.64
tell,tell,290.75,291.02
intended,intended,291.38,291.86
go,go,291.91,292.11
harness,harness,292.28,293.05999999999995
Then,then,293.82,293.92
know,know,294.26,294.65
I,i,295.6,295.86
see,see,295.86,296.23
it,it,296.23,296.59000000000003
deduce,,,
it,,,
know,know,296.61,296.63
getting,getting,301.56,301.7
wet,wet,301.7,302.06
lately,lately,302.08,302.6
clumsy,clumsy,304.42,304.94
careless,careless,305.1,305.57
servant,servant,305.57,306.01
girl,girl,306.019999,306.399999
My,my,307.67,307.86
dear,dear,307.86,307.93
Holmes,holmes,308.09,308.53
said,said,308.59,308.83
I,i,308.83,309.08
this,this,309.5,309.79
much,much,309.98,310.33000000000004
would,would,310.98,311.17
certainly,certainly,311.17,311.58000000000004
burned,burned,311.78,312.33
lived,lived,312.69,312.87
centuries,centuries,313.1,313.5
ago,ago,313.5,313.85
true,true,314.71,315.01
country,country,315.349999,315.669999
walk,walk,315.67,315.96000000000004
Thursday,thursday,316.139999,316.609999
came,came,316.719999,316.97999899999996
home,home,316.98,317.18
dreadful,dreadful,317.43,317.86
mess,mess,317.86,318.21
changed,changed,319.32,319.68
clothes,clothes,319.88,320.5
can't,can't,321.14,321.34000000000003
imagine,imagine,321.34000000000003,321.7
deduce,deduce,321.93,322.27
it,it,322.27,322.51
Mary,mary,323.8,324.11
Jane,jane,324.11,324.59000000000003
incorrigible,incorrigible,325.06,325.94
wife,wife,326.5,326.82
given,given,326.95,327.27
notice,notice,327.27999900000003,327.71999900000003
there,there,328.43,328.77
again,again,328.77,329.14
fail,fail,329.3,329.56
see,see,329.609999,329.939999
work,work,330.229999,330.479999
out,out,330.58,330.99
chuckled,chuckled,332.439999,332.749999
rubbed,rubbed,333.45,333.76
long,long,333.86,334.29
nervous,nervous,334.299999,334.749999
hands,hands,334.75,335.16
together,together,335.16,335.61
It,it,336.46999900000003,336.71999900000003
simplicity,simplicity,336.92,337.8
itself,itself,337.799999,338.579999
said,said,338.77,338.99
he,he,338.989999,339.269999
my,my,340.149999,340.459999
eyes,eyes,340.459999,340.849999
tell,tell,340.869999,341.189999
inside,inside,341.83,342.31
left,left,342.549999,342.77999900000003
shoe,shoe,342.779998,343.46999800000003
firelight,<unk>,343.69,344.8
strikes,strikes,344.81,345.26
it,it,345.26,345.46
leather,leather,346.02,346.46
scored,scored,346.5,346.94
six,six,347.16,347.49
almost,almost,347.5,347.95
parallel,parallel,347.97,348.55
cuts,cuts,348.58,349.16999999999996
Obviously,obviously,349.66,350.23
caused,caused,350.66,350.97
someone,someone,351.429999,351.89999900000004
carelessly,carelessly,352.36,353.02000000000004
scraped,scraped,353.02,353.51
round,round,353.509999,353.819999
edges,edges,353.82,354.25
sole,sole,354.389999,354.939999
order,order,355.5,355.75
remove,remove,355.82,356.29
crusted,crusted,356.309999,356.769999
mud,mud,356.77,357.10999999999996
it,it,357.32,357.59
Hence,hence,358.279999,358.53999899999997
see,see,358.549999,358.989999
double,double,359.18,359.44
deduction,deduction,359.440001,360.120001
vile,vile,361.059999,361.389999
weather,weather,361.399999,361.84999899999997
particularly,particularly,363.219999,363.91999899999996
malignant,malignant,363.91999899999996,364.569999
boot,boot,364.579999,364.989999
slitting,slitting,364.999999,365.499999
specimen,specimen,365.499999,366.089999
London,london,366.249999,366.699999
slavey,<unk>,368.33,368.76
practice,practice,368.77,369.40999999999997
gentleman,gentleman,369.94,370.49
walks,walks,370.49,370.83
rooms,rooms,371.23,371.66
smelling,smelling,371.889999,372.329999
iodoform,<unk>,372.33,372.44
black,black,374.509999,374.879999
mark,mark,374.91,375.36
nitrate,<unk>,375.36,376.17
silver,silver,376.18,376.7
upon,upon,376.699999,376.969999
right,right,377.09,377.40999999999997
forefinger,<unk>,378.949999,379.179999
bulge,bulge,379.19,379.61
right,right,379.79,380.1
side,side,380.1,380.43
top,top,380.66,381.01000000000005
hat,hat,381.01,381.34
show,show,381.52,381.78
secreted,<unk>,381.79,383.13
stethoscope,stethoscope,383.14,384.02
must,must,384.75,384.98
dull,dull,385.17,385.48
indeed,indeed,385.48,386.18
pronounce,pronounce,386.98,387.39000000000004
active,active,387.889999,388.299999
member,member,388.309999,388.929999
medical,medical,388.98,389.41
profession,profession,389.41,390.1
could,could,391.599999,391.77999900000003
help,help,391.929999,392.109999
laughing,laughing,392.12,392.66
ease,ease,392.87,393.2
explained,explained,393.679999,394.14999900000004
process,process,394.27,394.65
deduction,deduction,394.75,395.35
When,when,396.49,396.67
hear,hear,396.85,397.19
give,give,397.189999,397.479999
reasons,reasons,397.49,397.87
remarked,remarked,398.52,399.07
the,the,399.46,399.54
thing,thing,399.54,399.74
always,always,399.74,399.97
appears,appears,399.97,400.33
ridiculously,ridiculously,400.93,401.62
simple,simple,401.63,402.15
could,could,402.63,402.75
easily,easily,402.75,403.13
myself,myself,403.3,404.08
though,though,404.46,404.61
successive,successive,404.84000000000003,405.4
instance,instance,405.42,405.96
reasoning,reasoning,406.13,406.62
baffled,baffled,407.299999,407.869999
explain,explain,408.12,408.61
process,process,408.759999,409.429999
yet,yet,410.129999,410.579999
believe,believe,410.79,411.39
eyes,eyes,411.39,411.87
good,good,412.12,412.37
yours,yours,412.37,412.85
Quite,quite,413.909999,414.259999
so,so,414.3,414.9
answered,answered,415.159999,415.689999
lighting,lighting,416.149999,416.559999
cigarette,cigarette,416.58999900000003,417.149999
throwing,throwing,417.229999,417.589999
armchair,armchair,418.429999,419.039999
You,you,419.88,420.11
see,see,420.11,420.47
observe,observe,421.78000000000003,422.48
distinction,distinction,423.02,423.89
clear,clear,423.929999,424.269999
example,example,425.079999,425.58999900000003
frequently,frequently,426.12,426.63
seen,seen,426.63,426.96
steps,steps,426.96999800000003,427.419998
lead,lead,427.63,427.82
hall,hall,428.239999,428.759999
room,room,429.159999,429.609999
Frequently,frequently,430.329999,430.96999900000003
How,how,431.87,432.12
often,often,432.12,432.62
Well,well,433.46999800000003,433.929998
hundreds,hundreds,434.359998,434.789998
times,times,434.87,435.41
Then,then,436.160001,436.59000100000003
many,many,436.6,436.64
there,there,436.64,436.67
How,how,436.679998,436.919998
many,many,436.919999,437.259999
know,know,440.269998,440.709998
Quite,quite,441.660001,442.020001
so,so,442.019998,442.489998
observed,observed,443.609998,444.259998
yet,yet,444.839997,445.269997
seen,seen,445.559999,445.58999900000003
point,,,
Now,,,
know,,,
seventeen,,,
steps,steps,445.589997,445.699997
seen,seen,445.699998,446.15999800000003
observed,observed,446.730001,446.810001
By,by,446.809999,446.829999
the,the,446.829999,446.849999
way,way,454.92,455.26
since,since,455.69,456.04
interested,interested,456.26,456.78999999999996
little,little,456.79,456.88
problems,problems,457.59,458.26
since,since,458.98,459.26
good,good,459.46,459.61
enough,enough,459.61,459.9
chronicle,chronicle,460.14,460.65999999999997
one,one,460.65999999999997,460.86
two,two,460.90999999999997,461.12
trifling,trifling,461.61,462.15
experiences,experiences,462.15,462.95
may,may,463.75,464.04
interested,interested,464.05,464.67
this,this,464.85,465.46
threw,threw,466.54,466.83
sheet,sheet,467.07,467.3
thick,thick,467.42,467.77
pink,pink,467.84999899999997,468.139999
tinted,tinted,468.18,468.53
note,note,468.53,468.76
paper,paper,468.78,469.17
lying,lying,469.84999899999997,470.229999
open,open,470.229999,470.249999
upon,upon,470.27,470.51
table,table,470.57,471.04
It,it,471.84,472.03999999999996
came,came,472.04,472.40000000000003
last,last,472.58,473.01
post,post,473.09,473.71
said,said,473.89,474.11
he,he,474.11,474.39
Read,read,474.99,475.32
aloud,aloud,475.43,476.05
